permno,date,RET,PRC,SHROUT
10107,200907,-0.010517,23.52,8910674
10107,200908,0.053571,24.65,8910674
10107,200909,0.043408,25.72,8900000
10107,200910,0.078149,27.73,8879121
10107,200911,0.065272,29.41,8879121
10107,200912,0.036382,30.48,8811000
10145,198401,-0.056054,52.625,53459
10145,198402,-0.066983,48.5,53459
10145,198403,0.061856,51.5,53459
10145,198404,0.036408,53.375,53459
10145,198405,-0.049415,33.375,80189
10145,198406,-0.052434,31.625,80189
10145,198407,-0.090909,28.75,80189
10145,198408,0.198261,34,80275
10145,198409,0.036765,35.25,80275
10145,198410,-0.067376,32.875,80275
10145,198411,0.070722,34.75,80275
10145,198412,-0.007194,34.5,83029
10145,198501,0.130435,39,83029
10145,198502,0.001923,38.625,83029
10145,198503,-0.022654,37.75,83029
10145,198504,0.178808,44.5,83029
10145,198505,-0.054494,41.625,83335
10145,198506,0.024024,42.625,83335
10145,198507,0.046921,44.625,83335
10145,198508,-0.059944,41.5,83335
10145,198509,0.069277,44.375,81318
10145,198510,-0.011268,43.875,81318
10145,198511,0.064387,46.25,81318
10145,198512,0.010811,46.75,175194
10145,198601,0.005348,47,175194
10145,198602,0.1,51.25,175194
10145,198603,0.004878,51.5,175194
10145,198604,0.007282,51.875,175194
10145,198605,-0.017446,45.25,175194
10145,198606,-0.008287,44.875,176319
10145,198607,-0.08078,41.25,176319
10145,198608,0.007758,41.125,175032
10145,198609,-0.012158,40.625,175032
10145,198610,0.006154,40.875,175032
10145,198611,0.0263,41.5,175032
10145,198612,-0.033133,40.125,174352
10145,198701,0.17757,47.25,174352
10145,198702,-0.016931,46,174352
10145,198703,-0.002717,45.875,174352
10145,198704,-0.035422,44.25,174352
10145,198705,-0.074576,40.5,174352
10145,198706,0.07716,43.625,174424
10145,198707,0.008596,44,174424
10145,198708,0.058523,46.125,174424
10145,198709,-0.01084,45.625,171664
10145,198710,-0.208219,36.125,171664
10145,198711,-0.184775,29,171664
10145,198712,-0.025862,28.25,151131
10145,198801,0.106195,31.25,151131
10145,198802,0.0544,32.5,151131
10145,198803,-0.007692,32.25,149949
10145,198804,-0.023256,31.5,149949
10145,198805,0.061905,33,149949
10145,198806,0.045455,34.5,149949
10145,198807,0.028986,35.5,149949
10145,198808,-0.057746,33,149949
10145,198809,0.022727,33.75,149949
10145,198810,0.011111,34.125,149949
